구분,평균,평년
2009-01-02,"164,000","164,233"
2009-01-05,"164,000","164,067"
2009-01-06,"164,000","164,067"
2009-01-07,"164,000","163,933"
2009-01-08,"164,000","163,767"
2009-01-09,"164,000","163,633"
2009-01-12,"164,000","163,000"
2009-01-13,"164,000","162,667"
2009-01-14,"164,000","162,333"
2009-01-15,"164,000","162,067"
2009-01-16,"164,000","161,933"
2009-01-19,"164,000","161,333"
2009-01-20,"164,000","161,200"
2009-01-21,"164,000","161,067"
2009-01-22,"165,000","161,000"
2009-01-23,"165,000","161,067"
2009-01-28,"165,000","162,633"
2009-01-29,"165,000","162,700"
2009-01-30,"165,000","162,767"
2009-02-02,"165,000","163,000"
2009-02-03,"165,000","163,000"
2009-02-04,"165,000","163,000"
2009-02-05,"165,000","163,133"
2009-02-06,"165,000","163,167"
2009-02-09,"165,000","163,017"
2009-02-10,"165,000","162,950"
2009-02-11,"165,000","162,967"
2009-02-12,"165,000","163,200"
2009-02-13,"165,000","163,220"
2009-02-16,"165,000","162,867"
2009-02-17,"165,000","162,867"
2009-02-18,"165,000","162,867"
2009-02-19,"165,000","162,867"
2009-02-20,"165,000","162,867"
2009-02-23,"165,000","163,200"
2009-02-24,"165,000","163,283"
2009-02-25,"165,000","163,417"
2009-02-26,"165,000","163,667"
2009-02-27,"165,000","163,933"
2009-03-02,"165,000","164,333"
2009-03-03,"165,000","164,267"
2009-03-04,"165,000","164,200"
2009-03-05,"165,000","164,200"
2009-03-06,"165,000","164,267"
2009-03-09,"165,000","164,467"
2009-03-10,"165,000","164,533"
2009-03-11,"165,000","164,533"
2009-03-12,"165,000","164,533"
2009-03-13,"165,000","164,533"
2009-03-16,"165,000","164,800"
2009-03-17,"165,000","164,933"
2009-03-18,"166,000","165,067"
2009-03-19,"166,000","165,200"
2009-03-20,"166,000","165,200"
2009-03-23,"166,000","165,200"
2009-03-24,"166,000","165,200"
2009-03-25,"166,000","165,200"
2009-03-26,"166,000","165,200"
2009-03-27,"166,000","165,200"
2009-03-30,"166,000","165,467"
2009-03-31,"166,000","165,600"
2009-04-01,"166,000","165,733"
2009-04-02,"166,000","165,867"
2009-04-03,"166,000","165,867"
2009-04-06,"166,000","165,733"
2009-04-07,"166,000","165,667"
2009-04-08,"165,000","165,617"
2009-04-09,"163,000","165,617"
2009-04-10,"163,000","165,467"
2009-04-13,"163,000","165,000"
2009-04-14,"163,000","164,867"
2009-04-15,"163,000","164,867"
2009-04-16,"163,000","164,867"
2009-04-17,"163,000","164,867"
2009-04-20,"163,000","165,133"
2009-04-21,"163,000","165,067"
2009-04-22,"163,000","165,100"
2009-04-23,"163,000","165,200"
2009-04-24,"163,000","165,100"
2009-04-27,"163,000","164,867"
2009-04-28,"163,000","164,867"
2009-04-29,"163,000","164,867"
2009-04-30,"163,000","164,867"
2009-05-04,"163,000","164,733"
2009-05-06,"163,000","164,733"
2009-05-07,"163,000","164,867"
2009-05-08,"163,000","164,933"
2009-05-11,"163,000","165,067"
2009-05-12,"163,000","165,200"
2009-05-13,"163,000","165,200"
2009-05-14,"163,000","165,200"
2009-05-15,"163,000","165,200"
2009-05-18,"163,000","165,200"
2009-05-19,"163,000","165,200"
2009-05-20,"163,000","165,200"
2009-05-21,"163,000","165,200"
2009-05-22,"163,000","165,200"
2009-05-25,"163,000","165,133"
2009-05-26,"163,000","165,067"
2009-05-27,"163,000","164,933"
2009-05-28,"163,000","164,867"
2009-05-29,"163,000","164,867"
2009-06-01,"163,000","164,600"
2009-06-02,"163,000","164,533"
2009-06-03,"163,000","164,533"
2009-06-04,"163,000","164,533"
2009-06-05,"163,000","164,533"
2009-06-08,"163,000","163,933"
2009-06-09,"163,000","163,600"
2009-06-10,"163,000","163,267"
2009-06-11,"163,000","162,950"
2009-06-12,"163,000","162,750"
2009-06-15,"163,000","162,120"
2009-06-16,"163,000","161,613"
2009-06-17,"163,000","161,173"
2009-06-18,"163,000","160,733"
2009-06-19,"163,000","160,333"
2009-06-22,"163,000","159,800"
2009-06-23,"163,000","159,400"
2009-06-24,"164,000","159,133"
2009-06-25,"164,000","158,800"
2009-06-26,"164,000","158,467"
2009-06-29,"164,000","158,067"
2009-06-30,"164,000","157,867"
2009-07-01,"164,000","157,733"
2009-07-02,"164,000","157,333"
2009-07-03,"164,000","157,167"
2009-07-06,"164,000","155,867"
2009-07-07,"164,000","155,333"
2009-07-08,"164,000","154,667"
2009-07-09,"164,000","154,400"
2009-07-10,"164,000","154,333"
2009-07-13,"164,000","153,800"
2009-07-14,"164,000","153,933"
2009-07-15,"164,000","154,067"
2009-07-16,"164,000","154,200"
2009-07-17,"164,000","154,333"
2009-07-20,"164,000","154,133"
2009-07-21,"164,000","154,067"
2009-07-22,"164,000","154,000"
2009-07-23,"164,000","153,883"
2009-07-24,"164,000","153,783"
2009-07-27,"164,000","153,400"
2009-07-28,"164,000","153,267"
2009-07-29,"164,000","153,133"
2009-07-30,"164,000","153,000"
2009-07-31,"164,000","153,000"
2009-08-03,"164,000","152,733"
2009-08-04,"164,000","152,517"
2009-08-05,"164,000","152,317"
2009-08-06,"164,000","152,000"
2009-08-07,"164,000","151,717"
2009-08-10,"164,000","151,467"
2009-08-11,"164,000","151,400"
2009-08-12,"164,000","151,333"
2009-08-13,"164,000","151,227"
2009-08-14,"164,000","151,270"
2009-08-17,"164,000","149,640"
2009-08-18,"164,000","148,933"
2009-08-19,"164,000","148,333"
2009-08-20,"164,000","147,867"
2009-08-21,"164,000","147,800"
2009-08-24,"164,000","147,667"
2009-08-25,"164,000","147,600"
2009-08-26,"164,000","147,467"
2009-08-27,"164,000","147,267"
2009-08-28,"164,000","147,217"
2009-08-31,"164,000","147,200"
2009-09-01,"164,000","147,133"
2009-09-02,"164,000","147,133"
2009-09-03,"164,000","147,133"
2009-09-04,"164,000","147,133"
2009-09-07,"164,000","147,133"
2009-09-08,"164,000","147,133"
2009-09-09,"164,000","147,133"
2009-09-10,"164,000","147,160"
2009-09-11,"164,000","147,187"
2009-09-14,"164,000","147,667"
2009-09-15,"164,000","147,700"
2009-09-16,"164,000","147,633"
2009-09-17,"164,000","147,800"
2009-09-18,"164,000","148,350"
2009-09-21,"164,000","150,133"
2009-09-22,"164,000","150,600"
2009-09-23,"164,000","150,833"
2009-09-24,"164,000","150,967"
2009-09-25,"164,000","151,067"
2009-09-28,"164,000","151,000"
2009-09-29,"164,000","151,017"
2009-09-30,"164,000","151,017"
2009-10-01,"164,000","151,067"
2009-10-05,"164,000","151,467"
2009-10-06,"164,000","151,517"
2009-10-07,"164,000","151,517"
2009-10-08,"164,000","151,667"
2009-10-09,"164,000","151,867"
2009-10-12,"164,000","152,947"
2009-10-13,"164,000","153,233"
2009-10-14,"164,000","153,367"
2009-10-15,"163,600","153,693"
2009-10-16,"163,600","154,640"
2009-10-19,"163,600","157,200"
2009-10-20,"163,600","157,600"
2009-10-21,"163,600","157,467"
2009-10-22,"163,600","157,800"
2009-10-23,"163,600","158,533"
2009-10-26,"163,600","160,150"
2009-10-27,"163,000","160,300"
2009-10-28,"163,000","159,567"
2009-10-29,"162,000","158,800"
2009-10-30,"161,000","157,500"
2009-11-02,"161,000","157,167"
2009-11-03,"161,000","157,333"
2009-11-04,"161,000","157,200"
2009-11-05,"161,000","157,000"
2009-11-06,"161,000","157,000"
2009-11-09,"160,000","157,267"
2009-11-10,"160,000","157,467"
2009-11-11,"160,000","157,600"
2009-11-12,"159,000","157,350"
2009-11-13,"159,000","156,850"
2009-11-16,"159,000","156,267"
2009-11-17,"159,000","156,467"
2009-11-18,"159,000","156,600"
2009-11-19,"159,000","157,067"
2009-11-20,"159,000","157,300"
2009-11-23,"158,000","158,333"
2009-11-24,"157,000","158,867"
2009-11-25,"157,000","159,200"
2009-11-26,"157,000","159,200"
2009-11-27,"157,000","159,167"
2009-11-30,"157,000","159,400"
2009-12-02,"157,000","159,267"
2009-12-03,"157,000","158,983"
2009-12-04,"157,000","158,867"
2009-12-07,"157,000","158,217"
2009-12-08,"157,000","157,933"
2009-12-09,"157,000","157,667"
2009-12-10,"157,000","157,667"
2009-12-11,"157,000","157,667"
2009-12-14,"157,000","157,333"
2009-12-15,"157,000","157,133"
2009-12-16,"157,000","157,000"
2009-12-17,"157,000","156,933"
2009-12-18,"157,000","156,917"
2009-12-21,"155,000","157,283"
2009-12-22,"155,000","157,467"
2009-12-23,"155,000","157,467"
2009-12-24,"155,000","157,317"
2009-12-28,"155,000","156,867"
2009-12-29,"155,000","156,467"
2009-12-30,"155,000","156,067"
2009-12-31,"155,000","155,933"
