구분,평균,평년
2021-01-04,"444,750","347,933"
2021-01-05,"444,750","348,067"
2021-01-06,"444,750","348,200"
2021-01-07,"444,750","348,200"
2021-01-08,"444,750","348,200"
2021-01-11,"444,750","348,200"
2021-01-12,"444,750","348,200"
2021-01-13,"444,750","348,200"
2021-01-14,"444,750","348,200"
2021-01-15,"444,750","348,200"
2021-01-18,"444,750","348,200"
2021-01-19,"444,750","348,200"
2021-01-20,"439,750","348,200"
2021-01-21,"439,750","348,200"
2021-01-22,"439,750","348,107"
2021-01-25,"439,750","348,227"
2021-01-26,"439,750","348,267"
2021-01-27,"439,750","348,400"
2021-01-28,"439,750","348,400"
2021-01-29,"439,750","348,400"
2021-02-01,"439,750","348,400"
2021-02-02,"439,750","348,400"
2021-02-03,"439,750","348,400"
2021-02-04,"439,750","348,400"
2021-02-05,"439,750","348,400"
2021-02-08,"439,750","348,333"
2021-02-09,"439,750","348,467"
2021-02-10,"439,750","348,400"
2021-02-15,"439,750","347,493"
2021-02-16,"439,750","347,433"
2021-02-17,"439,750","347,433"
2021-02-18,"439,750","347,413"
2021-02-19,"439,750","345,917"
2021-02-22,"439,750","346,947"
2021-02-23,"439,750","347,187"
2021-02-24,"439,750","347,317"
2021-02-25,"439,750","347,817"
2021-02-26,"439,750","347,727"
2021-03-02,"439,750","347,367"
2021-03-03,"439,750","347,367"
2021-03-04,"439,750","347,500"
2021-03-05,"439,750","347,067"
2021-03-08,"439,750","347,367"
2021-03-09,"439,750","347,367"
2021-03-10,"439,750","347,367"
2021-03-11,"439,750","347,867"
2021-03-12,"439,750","347,867"
2021-03-15,"439,750","347,633"
2021-03-16,"444,500","347,493"
2021-03-17,"444,500","347,307"
2021-03-18,"444,500","347,120"
2021-03-19,"444,500","346,933"
2021-03-22,"444,500","346,933"
2021-03-23,"444,500","346,933"
2021-03-24,"444,500","346,933"
2021-03-25,"444,500","346,933"
2021-03-26,"444,500","346,933"
2021-03-29,"444,500","347,267"
2021-03-30,"444,500","347,467"
2021-03-31,"444,500","347,733"
2021-04-01,"444,500","348,000"
2021-04-02,"444,500","348,267"
2021-04-05,"444,500","348,267"
2021-04-06,"444,500","348,267"
2021-04-07,"444,500","348,267"
2021-04-08,"444,500","348,267"
2021-04-09,"444,500","348,267"
2021-04-12,"444,500","348,227"
2021-04-13,"444,500","348,213"
2021-04-14,"444,500","348,120"
2021-04-15,"444,500","348,100"
2021-04-16,"444,500","348,040"
2021-04-19,"444,500","348,300"
2021-04-20,"444,500","348,380"
2021-04-21,"444,500","348,300"
2021-04-22,"444,500","348,333"
2021-04-23,"444,500","348,467"
2021-04-26,"444,500","348,467"
2021-04-27,"444,500","348,467"
2021-04-28,"444,500","348,467"
2021-04-29,"444,500","348,467"
2021-04-30,"444,500","348,467"
2021-05-03,"444,500","348,467"
2021-05-04,"444,500","348,467"
2021-05-06,"444,500","348,467"
2021-05-07,"444,500","348,467"
2021-05-10,"444,500","348,467"
2021-05-11,"444,500","348,467"
2021-05-12,"444,500","348,467"
2021-05-13,"444,500","348,467"
2021-05-14,"444,500","348,467"
2021-05-17,"444,500","348,267"
2021-05-18,"444,500","348,200"
2021-05-20,"444,500","348,667"
2021-05-21,"444,500","348,933"
2021-05-24,"444,500","349,467"
2021-05-25,"444,500","349,467"
2021-05-26,"444,500","349,467"
2021-05-27,"444,500","349,467"
2021-05-28,"444,500","349,467"
2021-05-31,"444,500","349,160"
2021-06-01,"444,500","348,853"
2021-06-02,"444,500","349,100"
2021-06-03,"444,500","349,500"
2021-06-04,"454,000","349,747"
2021-06-07,"454,000","349,507"
2021-06-08,"454,000","349,080"
2021-06-09,"454,000","348,867"
2021-06-10,"454,000","348,773"
2021-06-11,"454,000","348,333"
2021-06-14,"454,000","347,173"
2021-06-15,"454,000","347,047"
2021-06-16,"454,000","346,933"
2021-06-17,"454,000","347,007"
2021-06-18,"454,000","347,107"
2021-06-21,"454,000","347,200"
2021-06-22,"454,000","347,213"
2021-06-23,"454,000","347,360"
2021-06-24,"454,000","347,533"
2021-06-25,"454,000","347,667"
2021-06-28,"454,000","347,940"
2021-06-29,"454,000","347,787"
2021-06-30,"454,000","347,817"
2021-07-01,"454,000","347,950"
2021-07-02,"454,000","347,947"
2021-07-05,"454,000","347,433"
2021-07-06,"454,000","347,480"
2021-07-07,"454,000","347,547"
2021-07-08,"454,000","347,613"
2021-07-09,"454,000","347,200"
2021-07-12,"451,667","345,807"
2021-07-13,"451,667","345,360"
2021-07-14,"451,667","345,453"
2021-07-15,"451,667","345,547"
2021-07-16,"451,667","345,600"
2021-07-19,"451,667","345,600"
2021-07-20,"451,667","345,600"
2021-07-21,"451,667","345,600"
2021-07-22,"451,667","345,600"
2021-07-23,"451,667","345,600"
2021-07-26,"451,667","345,550"
2021-07-27,"451,667","345,520"
2021-07-28,"451,667","345,480"
2021-07-29,"451,667","345,440"
2021-07-30,"451,667","345,333"
2021-08-02,"451,667","345,133"
2021-08-03,"454,000","344,987"
2021-08-04,"454,000","344,967"
2021-08-05,"454,000","344,967"
2021-08-06,"454,000","344,907"
2021-08-09,"454,000","345,667"
2021-08-10,"454,000","346,080"
2021-08-11,"454,000","346,433"
2021-08-12,"454,000","346,433"
2021-08-13,"454,000","346,613"
2021-08-17,"454,000","348,127"
2021-08-18,"454,000","348,470"
2021-08-19,"454,000","348,910"
2021-08-20,"454,000","349,587"
2021-08-23,"454,000","351,940"
2021-08-24,"454,000","352,367"
2021-08-25,"454,000","353,067"
2021-08-26,"446,667","352,967"
2021-08-27,"446,667","352,893"
2021-08-30,"446,667","352,663"
2021-08-31,"446,667","353,053"
2021-09-01,"446,667","353,247"
2021-09-02,"446,667","353,220"
2021-09-03,"446,667","353,413"
