구분,평균,평년
2016-01-04,"164,000","288,333"
2016-01-05,"164,000","288,467"
2016-01-06,"164,000","288,600"
2016-01-07,"164,000","288,733"
2016-01-08,"164,000","289,000"
2016-01-11,"164,000","289,000"
2016-01-12,"164,000","289,000"
2016-01-13,"164,000","289,067"
2016-01-14,"164,000","289,133"
2016-01-15,"164,000","289,167"
2016-01-18,"164,000","289,267"
2016-01-19,"166,000","289,333"
2016-01-20,"168,000","289,333"
2016-01-21,"168,000","289,333"
2016-01-22,"168,000","289,333"
2016-01-25,"168,000","289,333"
2016-01-26,"168,000","289,333"
2016-01-27,"168,000","289,333"
2016-01-28,"168,000","289,333"
2016-01-29,"168,000","289,333"
2016-02-01,"168,000","289,467"
2016-02-02,"168,000","289,600"
2016-02-03,"168,000","289,733"
2016-02-04,"168,000","289,833"
2016-02-05,"168,000","289,833"
2016-02-11,"168,000","290,000"
2016-02-12,"168,000","290,000"
2016-02-15,"168,000","290,000"
2016-02-16,"169,000","290,133"
2016-02-17,"169,000","290,267"
2016-02-18,"169,000","290,200"
2016-02-19,"169,000","290,167"
2016-02-22,"169,000","290,400"
2016-02-23,"169,000","290,333"
2016-02-24,"169,000","290,267"
2016-02-25,"169,000","290,333"
2016-02-26,"169,000","290,333"
02/29,"169,000","331,000"
2016-03-02,"169,000","292,067"
2016-03-03,"169,000","292,478"
2016-03-04,"169,000","292,455"
2016-03-07,"169,000","293,933"
2016-03-08,"169,000","293,911"
2016-03-09,"169,000","294,022"
2016-03-10,"169,000","294,055"
2016-03-11,"169,000","294,055"
2016-03-14,"169,000","294,422"
2016-03-15,"169,000","294,555"
2016-03-16,"169,000","295,022"
2016-03-17,"169,000","295,139"
2016-03-18,"169,000","295,139"
2016-03-21,"169,000","298,689"
2016-03-22,"169,000","300,089"
2016-03-23,"169,000","301,555"
2016-03-24,"169,000","301,889"
2016-03-25,"169,000","301,889"
2016-03-28,"169,000","303,955"
2016-03-29,"169,000","304,622"
2016-03-30,"169,000","304,755"
2016-03-31,"169,000","304,889"
2016-04-01,"169,000","304,889"
2016-04-04,"169,000","304,889"
2016-04-05,"169,000","304,889"
2016-04-06,"169,000","304,889"
2016-04-07,"169,000","304,889"
2016-04-08,"169,000","304,889"
2016-04-11,"169,000","304,889"
2016-04-12,"169,000","304,889"
2016-04-14,"169,000","305,022"
2016-04-15,"169,000","305,155"
2016-04-18,"169,000","305,244"
2016-04-19,"169,000","305,333"
2016-04-20,"169,000","305,555"
2016-04-21,"169,000","305,544"
2016-04-22,"169,000","305,500"
2016-04-25,"169,000","305,800"
2016-04-26,"169,000","305,867"
2016-04-27,"169,000","305,800"
2016-04-28,"169,000","305,733"
2016-04-29,"173,000","305,667"
2016-05-02,"173,000","305,667"
2016-05-03,"173,000","305,511"
2016-05-04,"173,000","305,355"
2016-05-09,"173,000","305,044"
2016-05-10,"173,000","305,022"
2016-05-11,"173,000","305,555"
2016-05-12,"173,000","305,722"
2016-05-13,"173,000","305,722"
2016-05-16,"173,000","308,022"
2016-05-17,"173,000","308,689"
2016-05-18,"173,000","308,978"
2016-05-19,"173,000","308,917"
2016-05-20,"173,000","308,672"
2016-05-23,"173,000","308,778"
2016-05-24,"173,000","308,750"
2016-05-25,"173,000","308,750"
2016-05-26,"173,000","308,733"
2016-05-27,"173,000","308,667"
2016-05-30,"173,000","308,667"
2016-05-31,"173,000","308,667"
2016-06-01,"173,000","308,667"
2016-06-02,"173,000","308,667"
2016-06-03,"173,000","308,600"
2016-06-07,"173,000","309,600"
2016-06-08,"173,000","309,933"
2016-06-09,"173,000","310,233"
2016-06-10,"173,000","310,167"
2016-06-13,"173,000","310,333"
2016-06-14,"173,000","310,333"
2016-06-15,"173,000","310,333"
2016-06-16,"174,200","310,333"
2016-06-17,"174,200","310,333"
2016-06-20,"174,200","310,533"
2016-06-21,"174,200","310,600"
2016-06-22,"174,200","310,667"
2016-06-23,"179,200","310,667"
2016-06-24,"184,200","310,667"
2016-06-27,"184,200","310,667"
2016-06-28,"184,200","310,667"
2016-06-29,"186,200","310,533"
2016-06-30,"186,200","310,400"
2016-07-01,"186,200","310,267"
2016-07-04,"186,200","310,133"
2016-07-05,"188,200","310,000"
2016-07-06,"188,200","310,000"
2016-07-07,"188,200","310,000"
2016-07-08,"188,200","310,067"
2016-07-11,"188,200","311,133"
2016-07-12,"188,200","311,467"
2016-07-13,"188,200","311,533"
2016-07-14,"188,200","311,663"
2016-07-15,"188,200","311,943"
2016-07-18,"188,200","311,907"
2016-07-19,"188,200","311,987"
2016-07-20,"188,200","312,067"
2016-07-21,"188,200","312,067"
2016-07-22,"188,200","312,067"
2016-07-25,"186,200","312,067"
2016-07-26,"186,200","312,067"
2016-07-27,"186,200","312,067"
2016-07-28,"186,200","312,067"
2016-07-29,"186,200","312,067"
2016-08-01,"186,200","312,067"
2016-08-02,"186,200","312,067"
2016-08-03,"186,200","312,067"
2016-08-04,"186,200","312,067"
2016-08-05,"186,200","312,067"
2016-08-08,"186,200","311,987"
2016-08-09,"186,200","311,907"
2016-08-10,"186,200","311,827"
2016-08-11,"186,200","311,747"
2016-08-12,"186,200","311,667"
2016-08-16,"186,200","311,667"
2016-08-17,"186,200","311,667"
2016-08-18,"186,400","311,667"
2016-08-19,"186,400","311,667"
2016-08-22,"186,400","313,533"
2016-08-23,"186,400","314,333"
2016-08-24,"186,400","315,133"
2016-08-25,"186,400","315,533"
2016-08-26,"186,400","315,667"
2016-08-29,"186,400","316,667"
2016-08-30,"186,400","317,183"
2016-08-31,"186,400","317,517"
2016-09-01,"195,400","318,083"
2016-09-02,"195,400","318,883"
2016-09-05,"195,400","322,133"
2016-09-06,"196,400","322,933"
2016-09-07,"196,400","323,667"
2016-09-08,"196,400","323,667"
2016-09-09,"196,400","323,400"
2016-09-12,"196,400","323,333"
2016-09-13,"196,400","323,333"
2016-09-19,"196,400","320,311"
2016-09-20,"196,400","319,911"
2016-09-21,"196,400","320,044"
2016-09-22,"196,400","320,444"
2016-09-23,"196,400","320,844"
2016-09-26,"196,400","321,133"
2016-09-27,"196,400","321,400"
2016-09-28,"196,400","321,667"
2016-09-29,"196,400","321,667"
2016-09-30,"196,400","321,667"
2016-10-04,"196,400","321,200"
2016-10-05,"196,400","320,667"
2016-10-06,"196,400","320,822"
2016-10-07,"196,400","321,044"
2016-10-10,"196,400","320,866"
2016-10-11,"196,400","321,089"
2016-10-12,"196,400","321,444"
2016-10-13,"198,400","321,444"
2016-10-14,"200,400","321,022"
2016-10-17,"202,400","317,600"
2016-10-18,"212,400","316,444"
2016-10-19,"212,400","315,955"
2016-10-20,"212,400","316,000"
2016-10-21,"212,400","314,200"
2016-10-24,"212,400","298,933"
2016-10-25,"212,400","291,600"
2016-10-26,"212,400","288,167"
2016-10-27,"212,400","287,900"
2016-10-28,"212,400","285,267"
2016-10-31,"212,400","273,000"
2016-11-01,"212,400","272,133"
2016-11-02,"212,400","271,517"
2016-11-03,"222,000","270,583"
2016-11-04,"248,000","268,667"
2016-11-07,"266,000","257,800"
2016-11-08,"284,000","254,400"
2016-11-09,"312,000","252,833"
2016-11-10,"330,000","252,567"
2016-11-11,"334,000","251,200"
2016-11-14,"348,000","246,800"
2016-11-15,"364,000","246,167"
2016-11-16,"379,000","245,433"
2016-11-17,"390,000","245,333"
2016-11-18,"390,000","245,133"
