구분,평균,평년
2007-01-02,"137,000","144,700"
2007-01-03,"137,000","144,800"
2007-01-04,"137,000","144,867"
2007-01-05,"137,000","144,967"
2007-01-08,"137,000","145,260"
2007-01-09,"137,000","145,447"
2007-01-10,"137,000","145,533"
2007-01-11,"137,000","145,600"
2007-01-12,"137,000","145,517"
2007-01-15,"137,000","146,240"
2007-01-16,"137,000","147,013"
2007-01-17,"138,000","147,520"
2007-01-18,"138,000","147,960"
2007-01-19,"138,000","148,250"
2007-01-22,"138,000","148,333"
2007-01-23,"138,000","148,533"
2007-01-24,"142,000","148,867"
2007-01-25,"146,000","149,267"
2007-01-26,"150,000","149,333"
2007-01-29,"153,000","150,767"
2007-01-30,"153,000","151,033"
2007-01-31,"153,000","151,200"
2007-02-01,"153,000","151,267"
2007-02-02,"153,000","151,333"
2007-02-05,"153,000","151,600"
2007-02-06,"153,000","151,800"
2007-02-07,"153,000","152,000"
2007-02-08,"153,000","152,250"
2007-02-09,"152,000","152,283"
2007-02-12,"152,000","152,517"
2007-02-13,"152,000","152,617"
2007-02-14,"152,000","152,333"
2007-02-15,"152,000","151,867"
2007-02-16,"152,000","151,567"
2007-02-20,"152,000","150,333"
2007-02-21,"152,000","150,333"
2007-02-22,"153,000","150,333"
2007-02-23,"154,000","150,333"
2007-02-26,"154,000","151,000"
2007-02-27,"156,000","151,200"
2007-02-28,"156,000","151,467"
2007-03-02,"156,000","151,417"
2007-03-05,"156,000","151,667"
2007-03-06,"156,000","151,800"
2007-03-07,"156,000","151,867"
2007-03-08,"157,000","151,933"
2007-03-09,"157,000","152,000"
2007-03-12,"157,000","152,200"
2007-03-13,"157,000","152,400"
2007-03-14,"157,000","152,600"
2007-03-15,"157,000","152,800"
2007-03-16,"157,000","153,000"
2007-03-19,"157,000","154,333"
2007-03-20,"157,000","154,933"
2007-03-21,"157,000","155,667"
2007-03-22,"157,000","156,133"
2007-03-23,"157,000","156,333"
2007-03-26,"157,000","156,933"
2007-03-27,"157,000","157,200"
2007-03-28,"157,000","157,600"
2007-03-29,"157,000","158,133"
2007-03-30,"157,000","158,600"
2007-04-02,"157,000","159,333"
2007-04-03,"157,000","159,333"
2007-04-04,"157,000","159,467"
2007-04-05,"157,000","159,433"
2007-04-06,"157,000","159,367"
2007-04-09,"157,000","159,417"
2007-04-10,"157,000","159,400"
2007-04-11,"157,000","159,333"
2007-04-12,"155,000","159,333"
2007-04-13,"155,000","159,333"
2007-04-16,"155,000","159,733"
2007-04-17,"155,000","159,933"
2007-04-18,"155,000","160,133"
2007-04-19,"155,000","160,333"
2007-04-20,"155,000","160,333"
2007-04-23,"155,000","160,400"
2007-04-24,"155,000","160,433"
2007-04-25,"155,000","160,400"
2007-04-26,"155,000","160,200"
2007-04-27,"155,000","160,000"
2007-04-30,"155,000","159,667"
2007-05-02,"155,000","159,467"
2007-05-03,"155,000","159,200"
2007-05-04,"155,000","158,933"
2007-05-07,"153,000","158,800"
