구분,평균,평년
2019-01-02,"428,600","235,067"
2019-01-03,"426,600","235,000"
2019-01-04,"426,600","235,000"
2019-01-07,"426,600","235,000"
2019-01-08,"426,600","235,000"
2019-01-09,"426,600","235,000"
2019-01-10,"426,600","235,000"
2019-01-11,"426,600","235,000"
2019-01-14,"426,600","234,600"
2019-01-15,"426,600","234,467"
2019-01-16,"426,600","234,333"
2019-01-17,"427,800","234,333"
2019-01-18,"427,800","234,333"
2019-01-21,"427,800","234,667"
2019-01-22,"427,800","234,733"
2019-01-23,"427,800","234,800"
2019-01-24,"426,400","234,933"
2019-01-25,"426,400","235,067"
2019-01-28,"426,400","235,333"
2019-01-29,"426,400","235,200"
2019-01-30,"426,400","235,067"
2019-01-31,"426,400","235,000"
2019-02-01,"426,400","235,000"
2019-02-07,"426,400","234,667"
2019-02-08,"427,200","234,667"
2019-02-11,"427,200","234,667"
2019-02-12,"425,200","234,667"
2019-02-13,"425,200","234,667"
2019-02-14,"425,200","234,667"
2019-02-15,"424,000","234,667"
2019-02-18,"424,000","234,667"
2019-02-19,"424,000","234,667"
2019-02-20,"424,000","234,667"
2019-02-21,"424,000","234,307"
2019-02-22,"424,000","233,947"
2019-02-25,"424,000","233,317"
2019-02-26,"424,000","233,227"
2019-02-27,"424,000","232,867"
2019-02-28,"424,000","232,867"
2019-03-04,"424,000","232,867"
2019-03-05,"424,000","232,867"
2019-03-06,"426,000","232,867"
2019-03-07,"426,000","232,867"
2019-03-08,"426,000","232,867"
2019-03-11,"426,000","232,867"
2019-03-12,"426,000","232,867"
2019-03-13,"426,000","232,867"
2019-03-14,"426,000","232,867"
2019-03-15,"426,000","232,867"
2019-03-18,"426,000","232,867"
2019-03-19,"426,000","232,867"
2019-03-20,"426,000","232,867"
2019-03-21,"426,000","232,867"
2019-03-22,"426,000","232,867"
2019-03-25,"426,000","232,867"
2019-03-26,"426,000","232,867"
2019-03-27,"426,000","232,867"
2019-03-28,"426,000","232,867"
2019-03-29,"426,000","232,867"
2019-04-01,"426,000","232,867"
2019-04-02,"426,000","232,867"
2019-04-03,"426,000","232,867"
2019-04-04,"426,000","232,867"
2019-04-05,"426,000","232,867"
2019-04-08,"426,000","232,467"
2019-04-09,"426,000","232,333"
2019-04-10,"426,000","232,187"
2019-04-11,"426,000","232,173"
2019-04-12,"426,000","232,160"
2019-04-15,"426,000","232,133"
2019-04-16,"426,000","232,133"
2019-04-17,"426,000","232,133"
2019-04-18,"426,000","232,133"
2019-04-19,"428,000","232,133"
2019-04-22,"428,000","232,133"
2019-04-23,"428,000","232,133"
2019-04-24,"428,000","232,133"
2019-04-25,"428,000","232,133"
2019-04-26,"428,000","232,133"
2019-04-29,"428,000","232,933"
2019-04-30,"428,000","233,133"
2019-05-02,"428,000","233,200"
2019-05-03,"428,000","233,467"
2019-05-07,"428,000","233,267"
2019-05-08,"428,000","233,200"
2019-05-09,"428,000","233,133"
2019-05-10,"428,000","233,133"
2019-05-13,"428,000","233,133"
2019-05-14,"428,000","233,133"
2019-05-15,"428,000","233,067"
2019-05-16,"428,000","233,000"
2019-05-17,"428,000","232,933"
2019-05-20,"428,000","232,800"
2019-05-21,"428,000","232,733"
2019-05-22,"428,000","232,667"
2019-05-23,"428,000","232,600"
2019-05-24,"428,000","232,550"
2019-05-27,"428,000","232,467"
2019-05-28,"428,000","232,467"
2019-05-29,"428,000","232,467"
2019-05-30,"428,000","232,467"
2019-05-31,"428,000","232,160"
2019-06-03,"428,000","231,700"
2019-06-04,"428,000","231,547"
2019-06-05,"428,000","231,240"
2019-06-07,"428,000","230,507"
2019-06-10,"428,000","229,867"
2019-06-11,"428,000","229,520"
2019-06-12,"426,600","228,960"
2019-06-13,"426,600","228,467"
2019-06-14,"426,600","228,587"
2019-06-17,"426,600","228,553"
2019-06-18,"428,600","228,587"
2019-06-19,"428,600","228,560"
