구분,평균,평년
2008-01-02,"204,000","146,833"
2008-01-03,"204,000","146,800"
2008-01-04,"204,000","146,667"
2008-01-07,"204,000","146,533"
2008-01-08,"204,000","146,500"
2008-01-09,"204,000","146,500"
2008-01-10,"204,000","146,400"
2008-01-11,"204,000","146,333"
2008-01-14,"204,000","146,000"
2008-01-15,"204,000","146,400"
2008-01-16,"204,000","147,013"
2008-01-17,"204,000","147,520"
2008-01-18,"204,000","147,960"
2008-01-21,"204,000","148,200"
2008-01-22,"204,000","148,333"
2008-01-23,"204,000","148,600"
2008-01-24,"204,000","149,267"
2008-01-25,"208,000","150,333"
2008-01-28,"208,000","152,433"
2008-01-29,"210,000","153,033"
2008-01-30,"212,000","153,500"
2008-01-31,"212,000","153,867"
2008-02-01,"216,000","153,933"
2008-02-04,"218,000","154,133"
2008-02-05,"218,000","154,267"
2008-02-11,"218,000","154,517"
2008-02-12,"220,000","154,667"
2008-02-13,"220,000","154,700"
2008-02-14,"222,000","154,467"
2008-02-15,"224,000","154,200"
2008-02-18,"229,000","153,600"
2008-02-19,"229,000","153,333"
2008-02-20,"231,000","153,400"
2008-02-21,"231,000","153,533"
2008-02-22,"231,000","153,667"
2008-02-25,"231,000","154,017"
2008-02-26,"231,000","154,067"
2008-02-27,"231,000","154,200"
2008-02-28,"231,000","154,333"
02/29,"231,000","188,100"
2008-03-03,"231,000","154,467"
2008-03-04,"231,000","154,533"
2008-03-05,"231,000","154,667"
2008-03-06,"234,000","154,867"
2008-03-07,"234,000","155,000"
2008-03-10,"234,000","155,333"
2008-03-11,"234,000","155,333"
2008-03-12,"234,000","155,533"
2008-03-13,"234,000","155,733"
2008-03-14,"237,000","155,933"
2008-03-17,"238,000","156,600"
2008-03-18,"238,000","157,067"
2008-03-19,"238,000","157,667"
2008-03-20,"238,000","158,267"
2008-03-21,"238,000","159,000"
2008-03-24,"238,000","159,733"
2008-03-25,"238,000","159,867"
2008-03-26,"238,000","160,267"
2008-03-27,"238,000","160,533"
2008-03-28,"238,000","160,933"
2008-03-31,"240,000","162,133"
2008-04-01,"240,000","162,400"
2008-04-02,"240,000","162,667"
2008-04-03,"240,000","162,667"
2008-04-04,"240,000","162,800"
2008-04-07,"240,000","162,733"
2008-04-08,"240,000","162,750"
2008-04-10,"240,000","162,600"
2008-04-11,"240,000","162,400"
2008-04-14,"240,000","162,000"
2008-04-15,"240,000","162,200"
2008-04-16,"240,000","162,400"
2008-04-17,"240,000","162,600"
2008-04-18,"240,000","162,800"
2008-04-21,"240,000","162,933"
2008-04-22,"240,000","162,967"
2008-04-23,"240,000","163,067"
2008-04-24,"240,000","163,100"
2008-04-25,"240,000","163,133"
2008-04-28,"240,000","163,000"
2008-04-29,"240,000","163,000"
2008-04-30,"240,000","163,000"
2008-05-02,"238,000","163,000"
2008-05-06,"238,000","162,667"
2008-05-07,"238,000","162,733"
2008-05-08,"238,000","162,733"
2008-05-09,"238,000","162,800"
2008-05-13,"238,000","163,533"
2008-05-14,"238,000","163,667"
