구분,평균,평년
2006-01-02,"149,000","140,367"
2006-01-03,"149,000","140,467"
2006-01-04,"149,000","140,533"
2006-01-05,"149,000","140,633"
2006-01-06,"149,000","140,770"
2006-01-09,"149,000","141,113"
2006-01-10,"149,000","141,200"
2006-01-11,"149,000","141,267"
2006-01-12,"149,000","141,183"
2006-01-13,"149,000","141,067"
2006-01-15,"149,000","141,907"
2006-01-16,"149,000","142,680"
2006-01-17,"149,000","143,187"
2006-01-18,"149,000","143,627"
2006-01-19,"149,000","143,917"
2006-01-20,"149,000","143,800"
2006-01-23,"149,000","144,200"
2006-01-24,"149,000","144,533"
2006-01-25,"149,000","144,933"
2006-01-26,"149,000","145,000"
2006-01-27,"149,000","145,400"
2006-01-31,"149,000","146,867"
2006-02-01,"149,000","146,933"
2006-02-02,"149,000","147,067"
2006-02-03,"149,000","147,133"
2006-02-06,"149,000","147,667"
2006-02-07,"149,000","147,867"
2006-02-08,"150,000","148,050"
2006-02-09,"150,000","148,083"
2006-02-10,"150,000","148,117"
2006-02-13,"149,000","148,483"
2006-02-14,"149,000","148,267"
2006-02-15,"149,000","147,867"
2006-02-16,"149,000","147,567"
2006-02-17,"149,000","147,267"
2006-02-20,"149,000","146,333"
2006-02-21,"149,000","146,333"
2006-02-22,"149,000","146,333"
2006-02-23,"149,000","146,333"
2006-02-24,"149,000","146,600"
2006-02-27,"149,000","147,200"
2006-02-28,"149,000","147,467"
2006-03-02,"149,000","147,417"
2006-03-03,"149,000","147,467"
2006-03-06,"149,000","147,800"
2006-03-07,"149,000","147,867"
2006-03-08,"149,000","147,933"
2006-03-09,"148,750","148,000"
2006-03-10,"148,750","148,000"
2006-03-13,"149,000","148,400"
2006-03-14,"149,000","148,600"
2006-03-15,"149,000","148,800"
2006-03-16,"149,000","149,000"
2006-03-17,"149,000","149,267"
2006-03-20,"149,000","150,933"
2006-03-21,"149,000","151,667"
2006-03-22,"149,000","152,133"
2006-03-23,"149,000","152,333"
2006-03-24,"149,000","152,400"
2006-03-27,"149,000","153,200"
2006-03-28,"149,000","153,600"
2006-03-29,"149,000","154,133"
2006-03-30,"149,000","154,600"
2006-03-31,"149,000","154,800"
2006-04-03,"149,000","155,333"
2006-04-04,"149,000","155,467"
2006-04-05,"149,000","155,500"
2006-04-06,"149,000","155,500"
2006-04-07,"148,000","155,600"
2006-04-10,"148,000","155,667"
2006-04-11,"148,000","155,667"
2006-04-12,"148,000","155,667"
2006-04-13,"148,000","155,667"
2006-04-14,"148,000","155,667"
2006-04-17,"148,000","156,267"
2006-04-18,"148,000","156,467"
2006-04-19,"148,000","156,667"
2006-04-20,"148,000","156,667"
2006-04-21,"148,000","156,733"
2006-04-24,"148,000","157,033"
2006-04-25,"146,000","157,133"
2006-04-26,"146,000","157,067"
2006-04-27,"146,000","157,000"
2006-04-28,"146,000","157,000"
2006-05-02,"146,000","157,000"
2006-05-03,"142,000","157,000"
2006-05-04,"142,000","157,000"
2006-05-08,"142,000","157,267"
2006-05-09,"142,000","157,467"
2006-05-10,"142,000","157,667"
2006-05-11,"141,600","157,867"
2006-05-12,"141,600","158,067"
2006-05-15,"141,600","158,333"
2006-05-16,"141,600","158,333"
2006-05-17,"141,600","158,333"
2006-05-18,"141,600","158,333"
2006-05-19,"141,600","158,333"
2006-05-22,"141,600","158,333"
2006-05-23,"141,600","158,333"
2006-05-24,"141,600","158,333"
2006-05-25,"141,600","158,267"
2006-05-26,"141,600","158,200"
