구분,평균,평년
2017-01-02,"423,200","238,400"
2017-01-03,"423,200","238,200"
2017-01-04,"427,200","238,067"
2017-01-05,"427,200","237,933"
2017-01-06,"427,200","237,800"
2017-01-09,"427,200","237,667"
2017-01-10,"427,200","237,667"
2017-01-11,"427,200","237,667"
2017-01-12,"427,200","237,533"
2017-01-13,"427,200","237,400"
2017-01-16,"427,200","237,000"
2017-01-17,"427,200","237,000"
2017-01-18,"427,200","237,000"
2017-01-19,"427,200","236,933"
2017-01-20,"427,200","237,133"
2017-01-23,"427,200","237,333"
2017-01-24,"427,200","237,333"
2017-01-25,"427,200","237,333"
2017-01-26,"427,200","237,333"
2017-01-31,"427,200","237,000"
2017-02-01,"427,200","237,133"
2017-02-02,"427,200","237,200"
2017-02-03,"427,200","237,200"
2017-02-06,"427,200","237,200"
2017-02-07,"431,200","237,333"
2017-02-08,"431,200","237,333"
2017-02-09,"433,200","237,333"
2017-02-10,"433,200","237,333"
2017-02-13,"433,200","237,333"
2017-02-14,"433,200","237,333"
2017-02-15,"433,200","237,333"
2017-02-16,"433,200","237,467"
2017-02-17,"433,200","237,600"
2017-02-20,"433,200","237,733"
2017-02-21,"437,200","237,867"
2017-02-22,"451,200","238,000"
2017-02-23,"456,000","238,000"
2017-02-24,"456,000","238,000"
2017-02-27,"456,000","238,133"
2017-02-28,"456,000","238,267"
2017-03-02,"456,000","239,733"
2017-03-03,"456,000","240,167"
2017-03-06,"456,000","241,067"
2017-03-07,"456,000","241,667"
2017-03-08,"456,000","241,667"
2017-03-09,"462,000","241,800"
2017-03-10,"462,000","241,833"
2017-03-13,"462,000","242,067"
2017-03-14,"462,000","242,200"
2017-03-15,"474,000","242,333"
2017-03-16,"480,000","242,800"
2017-03-17,"480,000","242,917"
2017-03-20,"480,000","245,067"
2017-03-21,"480,000","246,467"
2017-03-22,"480,000","247,867"
2017-03-23,"480,000","249,333"
2017-03-24,"480,000","249,667"
2017-03-27,"480,000","251,067"
2017-03-28,"494,000","251,733"
2017-03-29,"501,000","252,400"
2017-03-30,"505,000","252,533"
2017-03-31,"505,000","252,667"
2017-04-03,"505,000","252,667"
2017-04-04,"505,000","252,667"
2017-04-05,"505,000","252,667"
2017-04-06,"507,000","252,533"
2017-04-07,"509,000","252,400"
2017-04-10,"509,000","252,000"
2017-04-11,"509,000","252,000"
2017-04-12,"509,000","252,000"
2017-04-13,"509,000","252,000"
2017-04-14,"509,000","252,000"
2017-04-17,"509,000","252,000"
2017-04-18,"519,000","252,000"
2017-04-19,"519,000","252,000"
2017-04-20,"519,000","252,133"
2017-04-21,"519,000","252,167"
2017-04-24,"523,000","252,400"
2017-04-25,"523,000","252,533"
2017-04-26,"523,000","252,667"
2017-04-27,"523,000","252,933"
2017-04-28,"523,000","253,200"
2017-05-02,"523,000","253,733"
2017-05-04,"529,000","253,933"
2017-05-08,"529,000","253,733"
2017-05-10,"529,000","253,800"
2017-05-11,"529,000","254,333"
2017-05-12,"529,000","254,500"
2017-05-15,"533,000","255,933"
2017-05-16,"533,000","256,800"
2017-05-17,"533,000","257,533"
2017-05-18,"533,000","258,067"
2017-05-19,"533,000","258,250"
2017-05-22,"533,000","258,467"
2017-05-23,"533,000","258,600"
2017-05-24,"533,000","258,750"
2017-05-25,"533,000","258,750"
2017-05-26,"533,000","258,733"
2017-05-29,"533,000","258,667"
2017-05-30,"533,000","258,667"
2017-05-31,"533,000","258,667"
2017-06-01,"537,000","258,667"
2017-06-02,"539,000","258,667"
2017-06-05,"545,000","259,333"
2017-06-07,"545,000","259,733"
2017-06-08,"550,000","260,133"
2017-06-09,"550,000","260,500"
2017-06-12,"550,000","260,667"
2017-06-13,"550,000","260,667"
2017-06-14,"550,000","260,747"
2017-06-15,"550,000","260,827"
2017-06-16,"550,000","260,907"
2017-06-19,"550,000","261,200"
2017-06-20,"550,000","261,267"
2017-06-21,"550,000","261,667"
2017-06-22,"550,000","262,400"
2017-06-23,"550,000","263,067"
2017-06-26,"550,000","264,317"
2017-06-27,"550,000","264,533"
2017-06-28,"550,000","265,000"
2017-06-29,"550,000","265,133"
2017-06-30,"550,000","265,267"
2017-07-03,"550,000","265,567"
2017-07-04,"550,000","265,667"
2017-07-05,"550,000","265,800"
2017-07-06,"550,000","265,933"
2017-07-07,"550,000","266,067"
2017-07-10,"550,000","266,867"
2017-07-11,"550,000","267,200"
2017-07-12,"550,000","267,533"
2017-07-13,"552,000","267,600"
2017-07-14,"552,000","267,650"
2017-07-17,"552,000","267,733"
2017-07-18,"552,000","267,733"
2017-07-19,"552,000","267,733"
2017-07-20,"560,000","267,733"
2017-07-21,"560,000","267,600"
2017-07-24,"560,000","267,400"
2017-07-25,"560,000","267,333"
2017-07-26,"560,000","267,200"
2017-07-27,"566,000","267,067"
2017-07-28,"566,000","267,067"
2017-07-31,"566,000","267,067"
2017-08-01,"566,000","267,067"
2017-08-02,"566,000","267,067"
2017-08-03,"566,000","267,067"
2017-08-04,"566,000","267,067"
2017-08-07,"571,000","267,067"
2017-08-08,"578,000","267,067"
2017-08-09,"578,000","267,067"
2017-08-10,"578,000","267,067"
2017-08-11,"578,000","267,067"
2017-08-14,"578,000","267,067"
2017-08-16,"578,000","267,080"
2017-08-17,"578,000","267,093"
2017-08-18,"578,000","267,107"
2017-08-21,"578,000","268,200"
2017-08-22,"578,000","268,867"
2017-08-23,"584,000","269,533"
2017-08-24,"584,000","270,200"
2017-08-25,"584,000","270,467"
2017-08-28,"584,000","270,933"
2017-08-29,"584,000","271,467"
2017-08-30,"584,000","272,317"
2017-08-31,"584,000","272,983"
2017-09-01,"584,000","273,883"
2017-09-04,"584,000","277,883"
2017-09-05,"584,000","278,733"
2017-09-06,"584,000","279,600"
2017-09-07,"584,000","280,400"
2017-09-08,"598,000","280,467"
2017-09-11,"598,000","280,467"
2017-09-12,"598,000","280,467"
2017-09-13,"598,000","280,467"
2017-09-14,"598,000","280,467"
2017-09-15,"598,000","280,333"
2017-09-18,"600,000","280,067"
2017-09-19,"596,000","279,933"
2017-09-20,"596,000","279,800"
2017-09-21,"596,000","279,800"
2017-09-22,"596,000","279,800"
2017-09-25,"596,000","279,800"
2017-09-26,"596,000","279,800"
2017-09-27,"596,000","279,800"
2017-09-28,"596,000","279,800"
2017-09-29,"596,000","279,800"
2017-10-10,"596,000","278,267"
2017-10-11,"596,000","278,267"
2017-10-12,"584,000","278,533"
2017-10-13,"573,000","278,733"
2017-10-16,"553,000","277,800"
2017-10-17,"553,000","276,800"
2017-10-18,"553,000","276,533"
2017-10-19,"563,000","276,800"
2017-10-20,"543,000","277,467"
2017-10-23,"522,000","266,600"
2017-10-24,"516,000","260,400"
2017-10-25,"486,000","253,067"
2017-10-26,"486,000","249,633"
2017-10-27,"444,000","249,367"
2017-10-30,"426,000","236,867"
2017-10-31,"408,000","234,467"
2017-11-01,"390,000","234,240"
2017-11-02,"368,000","236,063"
2017-11-03,"308,000","238,770"
2017-11-06,"304,800","238,067"
2017-11-07,"308,800","237,533"
2017-11-08,"304,800","241,400"
2017-11-09,"302,800","245,567"
2017-11-10,"302,800","250,767"
2017-11-13,"302,800","253,133"
2017-11-14,"290,800","254,800"
2017-11-15,"289,000","258,167"
2017-11-16,"289,000","261,233"
2017-11-17,"289,000","264,000"
2017-11-20,"289,000","264,467"
2017-11-21,"289,000","264,933"
2017-11-22,"287,000","265,583"
2017-11-23,"287,000","266,517"
2017-11-24,"287,000","267,267"
2017-11-27,"287,000","266,533"
2017-11-28,"287,000","266,667"
2017-11-29,"287,000","267,200"
2017-11-30,"287,000","267,867"
2017-12-04,"287,000","269,000"
2017-12-05,"287,000","268,933"
2017-12-06,"289,000","269,067"
2017-12-07,"289,000","269,200"
2017-12-08,"294,000","269,233"
2017-12-11,"301,000","268,667"
2017-12-12,"301,000","268,467"
2017-12-13,"301,000","268,333"
2017-12-14,"307,000","268,267"
2017-12-15,"311,000","268,167"
2017-12-18,"311,000","267,867"
2017-12-19,"316,000","267,800"
2017-12-20,"316,000","268,100"
2017-12-21,"316,000","268,233"
2017-12-22,"316,000","268,567"
2017-12-26,"316,000","268,600"
2017-12-27,"316,000","268,467"
2017-12-28,"316,000","268,300"
2017-12-29,"316,000","268,100"
