구분,평균,평년
2013-01-02,"423,200","238,400"
2013-01-03,"423,200","238,200"
2013-01-04,"427,200","238,067"
2013-01-05,"427,200","237,933"
2013-01-06,"427,200","237,800"
2013-01-09,"427,200","237,667"
2013-01-10,"427,200","237,667"
2013-01-11,"427,200","237,667"
2013-01-12,"427,200","237,533"
2013-01-13,"427,200","237,400"
2013-01-16,"427,200","237,000"
2013-01-17,"427,200","237,000"
2013-01-18,"427,200","237,000"
2013-01-19,"427,200","236,933"
2013-01-20,"427,200","237,133"
2013-01-23,"427,200","237,333"
2013-01-24,"427,200","237,333"
2013-01-25,"427,200","237,333"
2013-01-26,"427,200","237,333"
2013-01-31,"427,200","237,000"
2013-02-01,"427,200","237,133"
2013-02-02,"427,200","237,200"
2013-02-03,"427,200","237,200"
2013-02-06,"427,200","237,200"
2013-02-07,"431,200","237,333"
2013-02-08,"431,200","237,333"
2013-02-09,"433,200","237,333"
2013-02-10,"433,200","237,333"
2013-02-13,"433,200","237,333"
2013-02-14,"433,200","237,333"
2013-02-15,"433,200","237,333"
2013-02-16,"433,200","237,467"
2013-02-17,"433,200","237,600"
2013-02-20,"433,200","237,733"
2013-02-21,"437,200","237,867"
2013-02-22,"451,200","238,000"
2013-02-23,"456,000","238,000"
2013-02-24,"456,000","238,000"
2013-02-27,"456,000","238,133"
2013-02-28,"456,000","238,267"
2013-03-02,"456,000","239,733"
2013-03-03,"456,000","240,167"
2013-03-06,"456,000","241,067"
2013-03-07,"456,000","241,667"
2013-03-08,"456,000","241,667"
2013-03-09,"462,000","241,800"
2013-03-10,"462,000","241,833"
2013-03-13,"462,000","242,067"
2013-03-14,"462,000","242,200"
2013-03-15,"474,000","242,333"
2013-03-16,"480,000","242,800"
2013-03-17,"480,000","242,917"
2013-03-20,"480,000","245,067"
2013-03-21,"480,000","246,467"
2013-03-22,"480,000","247,867"
2013-03-23,"480,000","249,333"
2013-03-24,"480,000","249,667"
2013-03-27,"480,000","251,067"
2013-03-28,"494,000","251,733"
2013-03-29,"501,000","252,400"
2013-03-30,"505,000","252,533"
2013-03-31,"505,000","252,667"
2013-04-03,"505,000","252,667"
2013-04-04,"505,000","252,667"
2013-04-05,"505,000","252,667"
2013-04-06,"507,000","252,533"
2013-04-07,"509,000","252,400"
2013-04-10,"509,000","252,000"
2013-04-11,"509,000","252,000"
2013-04-12,"509,000","252,000"
2013-04-13,"509,000","252,000"
2013-04-14,"509,000","252,000"
2013-04-17,"509,000","252,000"
2013-04-18,"519,000","252,000"
2013-04-19,"519,000","252,000"
2013-04-20,"519,000","252,133"
