구분,평균,평년
2012-01-02,"326,000","174,600"
2012-01-03,"326,000","174,467"
2012-01-04,"326,000","174,333"
2012-01-05,"324,000","174,333"
2012-01-06,"324,000","174,333"
2012-01-09,"324,000","174,333"
2012-01-10,"324,000","174,333"
2012-01-11,"324,000","174,333"
2012-01-12,"324,000","174,400"
2012-01-13,"324,000","174,467"
2012-01-16,"324,000","174,667"
2012-01-17,"324,000","174,667"
2012-01-18,"324,000","174,667"
2012-01-19,"324,000","174,667"
2012-01-20,"324,000","174,733"
2012-01-25,"324,000","175,933"
2012-01-26,"324,000","176,367"
2012-01-27,"324,000","176,500"
2012-01-30,"324,000","177,867"
2012-01-31,"324,000","178,533"
2012-02-01,"324,000","179,067"
2012-02-02,"324,000","179,333"
2012-02-03,"326,000","179,333"
2012-02-06,"326,000","180,167"
2012-02-07,"326,000","180,167"
2012-02-08,"326,000","180,167"
2012-02-09,"326,000","180,167"
2012-02-10,"326,000","180,167"
2012-02-13,"326,000","180,933"
2012-02-14,"326,000","181,667"
2012-02-15,"326,000","182,267"
2012-02-16,"326,000","182,667"
2012-02-17,"326,000","182,667"
2012-02-20,"328,000","184,067"
2012-02-21,"328,000","184,200"
2012-02-22,"328,000","184,333"
2012-02-23,"328,000","184,333"
2012-02-24,"328,000","184,333"
2012-02-27,"328,000","184,333"
2012-02-28,"328,000","184,333"
02/29,"330,000","231,000"
2012-03-02,"330,000","184,333"
2012-03-05,"339,000","184,733"
2012-03-06,"339,000","185,000"
2012-03-07,"339,000","185,267"
2012-03-08,"339,000","185,533"
2012-03-09,"339,000","185,600"
2012-03-12,"339,000","185,867"
2012-03-13,"341,000","186,133"
2012-03-14,"341,000","186,400"
2012-03-15,"341,000","186,583"
2012-03-16,"341,000","186,650"
2012-03-19,"341,000","187,267"
2012-03-20,"348,000","187,333"
2012-03-21,"358,000","187,333"
2012-03-22,"358,000","187,333"
2012-03-23,"362,000","187,333"
2012-03-26,"362,000","187,333"
2012-03-27,"370,000","187,467"
2012-03-28,"370,000","187,600"
2012-03-29,"372,000","187,667"
2012-03-30,"372,000","187,667"
2012-04-02,"372,000","188,000"
2012-04-03,"372,000","188,000"
2012-04-04,"372,000","188,000"
2012-04-05,"372,000","188,000"
2012-04-06,"372,000","187,933"
2012-04-09,"372,000","187,333"
2012-04-10,"372,000","187,133"
2012-04-12,"372,000","187,000"
2012-04-13,"372,000","187,000"
2012-04-16,"372,000","187,000"
2012-04-17,"372,000","187,000"
2012-04-18,"372,000","187,000"
2012-04-19,"372,000","187,000"
2012-04-20,"372,000","187,000"
2012-04-23,"372,000","187,613"
2012-04-24,"374,000","187,767"
2012-04-25,"374,000","187,767"
2012-04-26,"374,000","187,827"
2012-04-27,"374,000","188,093"
2012-04-30,"374,000","188,013"
2012-05-02,"374,000","187,933"
2012-05-03,"374,000","187,833"
2012-05-04,"374,000","187,833"
2012-05-07,"374,000","187,800"
2012-05-08,"374,000","187,833"
2012-05-09,"374,000","187,833"
2012-05-10,"374,000","187,867"
2012-05-11,"374,000","187,933"
2012-05-14,"376,000","188,133"
2012-05-15,"382,000","188,167"
2012-05-16,"385,000","188,033"
2012-05-17,"387,000","188,100"
2012-05-18,"387,000","188,233"
2012-05-21,"387,000","188,133"
2012-05-22,"390,000","188,000"
2012-05-23,"390,000","188,000"
2012-05-24,"390,000","188,000"
2012-05-25,"390,000","188,000"
2012-05-29,"390,000","188,167"
2012-05-30,"390,000","188,167"
2012-05-31,"390,000","188,200"
2012-06-01,"390,000","188,400"
2012-06-04,"390,000","188,867"
2012-06-05,"390,000","189,000"
2012-06-07,"394,000","189,067"
2012-06-08,"396,000","189,267"
2012-06-11,"396,000","189,333"
2012-06-12,"396,000","189,333"
2012-06-13,"396,000","189,333"
2012-06-14,"396,000","189,333"
2012-06-15,"396,000","189,333"
2012-06-18,"396,000","189,600"
2012-06-19,"396,000","189,733"
2012-06-20,"397,000","189,867"
2012-06-21,"397,000","190,000"
2012-06-22,"397,000","190,067"
2012-06-25,"397,000","190,533"
2012-06-26,"397,000","190,733"
2012-06-27,"397,000","190,867"
2012-06-28,"397,000","191,000"
2012-06-29,"397,000","191,000"
2012-07-02,"397,000","190,867"
2012-07-03,"397,000","190,733"
2012-07-04,"397,000","190,733"
2012-07-05,"397,000","190,667"
2012-07-06,"397,000","190,600"
2012-07-09,"397,000","190,733"
2012-07-10,"397,000","190,933"
2012-07-11,"397,000","191,067"
2012-07-12,"397,000","191,167"
2012-07-13,"398,000","191,167"
2012-07-16,"398,000","191,333"
2012-07-17,"398,000","191,333"
2012-07-18,"398,000","191,333"
2012-07-19,"398,000","191,333"
2012-07-20,"398,000","191,333"
2012-07-23,"398,000","191,333"
2012-07-24,"398,000","191,733"
2012-07-25,"398,000","192,133"
2012-07-26,"398,000","192,333"
2012-07-27,"398,000","192,333"
2012-07-30,"398,000","193,333"
2012-07-31,"398,000","193,333"
2012-08-01,"398,000","193,333"
2012-08-02,"398,000","193,333"
2012-08-03,"398,000","193,333"
